"year","month","flow","port","region","volumen_10k_m3","volume_MCF","value_US","avgPrice_US_MMBTU"
1991,"April","Exports","St Clair","MidWest",86317.2,3047080.18684093,4269982.94,1.39
1991,"April","Imports","Coutts","MidWest",61.6,2174.53925184553,,
1991,"April","Imports","St Clair","MidWest",12543,442779.964868483,,
1991,"May","Exports","Aden","MidWest",16497.6,582381.14872154,980246.17,1.7
1991,"May","Exports","Cornwall","East",15183.8,536002.745002796,2013224.6,3.72
1991,"May","Exports","Emerson","MidWest",838379.9,29595616.8913691,51666914.19,1.73
1991,"May","Exports","Fort Frances","East",14791.1,522140.057272281,1267965.38,2.41
1991,"May","Exports","Highwater","East",18636.9,657900.496472728,1667420.09,2.51
1991,"May","Exports","Huntingdon","West",510278.6,18013325.4070907,26078086.87,1.4
1991,"May","Exports","Kingsgate","West",1115256,39369609.5431208,81951787.03,2.05
1991,"May","Exports","Monchy","MidWest",804162.5,28387709.7583155,36276190.05,1.26
1991,"May","Exports","Niagara Falls","East",383328.9,13531878.8866359,31452142.42,2.3
1991,"May","Exports","Ojibway (Windsor)","MidWest",4271.4,150784.528576835,396656.11,2.61
1991,"May","Exports","Philipsburg","East",12015.3,424151.647284085,1261638.83,2.95
1991,"May","Exports","Reagan Field","MidWest",424.1,14971.1379335664,25308.8,1.31
1991,"May","Exports","Sprague","MidWest",473,16697.3549695282,49661.62,2.95
1991,"May","Exports","St Clair","MidWest",16810.3,593419.759501607,1253349.66,2.11
1991,"May","Imports","Coutts","MidWest",37.5,1323.78607052285,,
1991,"May","Imports","St Clair","MidWest",12961.1,457539.297030766,,
1991,"June","Exports","Aden","MidWest",14080.7,497062.253952296,851145.59,1.69
1991,"June","Exports","Cardston","MidWest",9082.4,320617.456184446,319954.67,0.99
1991,"June","Exports","Cornwall","East",9993.4,352776.632457681,1681841.51,4.76
1991,"June","Exports","Emerson","MidWest",759692.6,26817879.513581,51519836.63,1.92
1991,"June","Exports","Fort Frances","East",12364.2,436468.15288423,1067689.63,2.44
